Club,Predecessor,Join date,Coach
Tottenham,David Pleat,3/6/2004,Jacques Santini
Leeds,Eddie Gray,31/5/2004,Kevin Blackwell
Southampton,Gordon Strachan,13/2/2004,Paul Sturrock
Leeds,Peter Reid,12/11/2003,Kevin Blackwell
Tottenham,Glenn Hoddle,20/9/2003,David Pleat
Portsmouth,Velimir Zajec,7/4/2005,Alain Perrin
Man City,Kevin Keegan,10/3/2005,Stuart Pearce
Southampton,Steve Wigley,8/12/2004,Harry Redknapp
Portsmouth,Harry Redknapp,24/11/2004,Velimir Zajec
West Brom,Frank Burrows,8/11/2004,Bryan Robson
Tottenham,Jacques Santini,6/11/2004,Martin Jol
West Brom,Gary Megson,26/10/2004,Frank Burrows
Blackburn,Tony Parkes,15/9/2004,Paul Ince
Newcastle,John Carver,12/9/2004,Glenn Roeder
Blackburn,Graeme Souness,6/9/2004,Mark Hughes
Newcastle,Sir Bobby Robson,29/8/2004,John Carver
Southampton,Paul Sturrock,23/8/2004,Harry Redknapp
Middlesbrough,Steve McClaren,30/6/2006,Colin Cooper
Charlton,Alan Curbishley,30/6/2006,Iain Dowie
Sunderland,Kevin Ball,8/5/2006,Niall Quinn
Sunderland,Mick McCarthy,6/3/2006,Kevin Ball
Newcastle,Graeme Souness,2/2/2006,Glenn Roeder
Portsmouth,Joe Jordan,7/12/2005,Harry Redknapp
Portsmouth,Alain Perrin,24/11/2005,Joe Jordan
Man City,Stuart Pearce,14/5/2007,Sven-Göran Eriksson
Wigan,Paul Jewell,14/5/2007,Chris Hutchings
Newcastle,Glenn Roeder,6/5/2007,Sam Allardyce
Bolton,Sam Allardyce,30/4/2007,Sammy Lee
Fulham,Chris Coleman,10/4/2007,Lawrie Sanchez
Charlton,Les Reed,24/12/2006,Alan Pardew
West Ham,Alan Pardew,11/12/2006,Alan Curbishley
Charlton,Iain Dowie,15/11/2006,Les Reed
Aston Villa,Roy Aitken,4/8/2006,Martin O'Neill
Aston Villa,David O'Leary,20/7/2006,Roy Aitken
Blackburn,Mark Hughes,3/6/2008,Paul Ince
Man City,Sven-Göran Eriksson,2/6/2008,Mark Hughes
Chelsea,Avram Grant,24/5/2008,Luiz Felipe Scolari
Newcastle,Nigel Pearson,16/1/2008,Kevin Keegan
Newcastle,Sam Allardyce,9/1/2008,Nigel Pearson
Fulham,Billy McKinlay,28/12/2007,Roy Hodgson
Fulham,Lawrie Sanchez,21/12/2007,Billy McKinlay
Birmingham,Eric Black,27/11/2007,Alex McLeish
Birmingham,Eric Black,27/11/2007,Alex McLeish
Derby,Billy Davies,26/11/2007,Paul Jewell
Wigan,Frank Barlow,18/11/2007,Steve Bruce
Birmingham,Steve Bruce,18/11/2007,Eric Black
Wigan,Chris Hutchings,5/11/2007,Frank Barlow
Tottenham,Martin Jol,25/10/2007,Juande Ramos
Bolton,Archie Knox,25/10/2007,Gary Megson
Bolton,Sammy Lee,17/10/2007,Archie Knox
Chelsea,José Mourinho,20/9/2007,Avram Grant
Newcastle,Alan Shearer,30/6/2009,Chris Hughton
Wigan,Steve Bruce,30/6/2009,Owen Coyle
Chelsea,Guus Hiddink,30/6/2009,Carlo Ancelotti
West Brom,Tony Mowbray,30/6/2009,Roberto Di Matteo
Sunderland,Ricky Sbragia,24/5/2009,Steve Bruce
Newcastle,Chris Hughton,1/4/2009,Alan Shearer
Newcastle,Joe Kinnear,11/2/2009,Chris Hughton
Chelsea,Luiz Felipe Scolari,9/2/2009,Guus Hiddink
Portsmouth,Tony Adams,9/2/2009,Paul Hart
Blackburn,Paul Ince,16/12/2008,Sam Allardyce
Sunderland,Roy Keane,4/12/2008,Ricky Sbragia
Portsmouth,Joe Jordan,7/11/2008,Paul Hart
Tottenham,Juande Ramos,27/10/2008,André Villas-Boas
Portsmouth,Harry Redknapp,25/10/2008,Joe Jordan
Newcastle,Chris Hughton,25/9/2008,Joe Kinnear
Newcastle,Kevin Keegan,4/9/2008,Chris Hughton
West Ham,Alan Curbishley,3/9/2008,Gianfranco Zola
Hull,Iain Dowie,30/6/2010,Nigel Pearson
Liverpool,Rafael Benítez,30/6/2010,Roy Hodgson
Fulham,Roy Hodgson,30/6/2010,Ray Lewington
Portsmouth,Avram Grant,30/6/2010,Steve Cotterill
West Ham,Gianfranco Zola,11/5/2010,Avram Grant
Hull,Phil Brown,15/3/2010,Iain Dowie
Burnley,Martin Dobson,13/1/2010,Brian Laws
Bolton,Steve Wigley,8/1/2010,Owen Coyle
Burnley,Owen Coyle,8/1/2010,Martin Dobson
Bolton,Chris Evans,8/1/2010,Owen Coyle
Bolton,Gary Megson,30/12/2009,Chris Evans
Man City,Mark Hughes,19/12/2009,Roberto Mancini
Portsmouth,Paul Groves,26/11/2009,Steve Cotterill
Portsmouth,Ian Woan,26/11/2009,Steve Cotterill
Portsmouth,Paul Hart,24/11/2009,Paul Groves
Birmingham,Alex McLeish,12/6/2011,Chris Hughton
Fulham,Mark Hughes,2/6/2011,Martin Jol
Aston Villa,Gérard Houllier,1/6/2011,Alex McLeish
West Ham,Kevin Keen,31/5/2011,Sam Allardyce
Chelsea,Carlo Ancelotti,22/5/2011,André Villas-Boas
West Ham,Avram Grant,15/5/2011,Kevin Keen
West Brom,Michael Appleton,10/2/2011,Roy Hodgson
West Brom,Roberto Di Matteo,6/2/2011,Roy Hodgson
Liverpool,Roy Hodgson,7/1/2011,Sir Kenny Dalglish
Birmingham,Kristjaan Speakman,31/12/2010,Chris Hughton
Blackburn,Steve Kean,22/12/2010,Steve Kean
